,index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_case,Recovered_Rate,Death_Rate
17,17,Belize,2,26,20,0.0,0.0,0,4.17,54.17,7.69,40,8,20.0,48,54.166666666666664,4.166666666666666
18,18,Benin,35,1036,699,0.0,0.0,0,1.98,58.53,3.38,1602,168,10.49,1770,58.53107344632769,1.977401129943503
19,19,Bhutan,0,86,13,,,1,0.0,86.87,0.0,90,9,10.0,99,86.86868686868688,0.0
20,20,Bolivia,2647,21478,47056,1752.0,64.0,309,3.72,30.17,12.32,60991,10190,16.71,71181,30.173782329554232,3.718688975990784
21,21,Bosnia and Herzegovina,294,4930,5274,731.0,14.0,375,2.8,46.96,5.96,8479,2019,23.81,10498,46.96132596685083,2.8005334349399886
22,22,Botswana,2,63,674,53.0,1.0,11,0.27,8.53,3.17,522,217,41.57,739,8.525033829499323,0.2706359945872801
23,23,Brazil,87618,1846641,508116,23284.0,614.0,33728,3.59,75.61,4.74,2118646,323729,15.28,2442375,75.60841394134808,3.5874097957930293
24,24,Brunei,3,138,0,0.0,0.0,0,2.13,97.87,2.17,141,0,0.0,141,97.87234042553192,2.127659574468085
25,25,Bulgaria,347,5585,4689,194.0,7.0,230,3.27,52.58,6.21,8929,1692,18.95,10621,52.584502400903865,3.267112324639864
26,26,Burkina Faso,53,926,121,14.0,0.0,6,4.82,84.18,5.72,1065,35,3.29,1100,84.18181818181819,4.818181818181818
27,27,Burma,6,292,52,0.0,0.0,2,1.71,83.43,2.05,341,9,2.64,350,83.42857142857143,1.7142857142857144
28,28,Burundi,1,301,76,17.0,0.0,22,0.26,79.63,0.33,322,56,17.39,378,79.62962962962963,0.26455026455026454
29,29,Cabo Verde,22,1550,756,21.0,0.0,103,0.95,66.58,1.42,2071,257,12.41,2328,66.5807560137457,0.9450171821305842
30,30,Cambodia,0,147,79,1.0,0.0,4,0.0,65.04,0.0,171,55,32.16,226,65.04424778761062,0.0
31,31,Cameroon,391,14539,2180,402.0,6.0,0,2.29,84.97,2.69,16157,953,5.9,17110,84.97369959088252,2.2852133255406195
32,32,Canada,8944,0,107514,682.0,11.0,0,7.68,0.0,inf,112925,3533,3.13,116458,0.0,7.68002198217383
33,33,Central African Republic,59,1546,2994,0.0,0.0,0,1.28,33.62,3.82,4548,51,1.12,4599,33.616003479017174,1.2828875842574472
34,34,Chad,75,810,37,7.0,0.0,0,8.13,87.85,9.26,889,33,3.71,922,87.85249457700651,8.134490238611713
35,35,Chile,9187,319954,18782,2133.0,75.0,1859,2.64,91.96,2.87,333029,14894,4.47,347923,91.96115232393375,2.640526783225024
36,36,China,4656,78869,3258,213.0,4.0,7,5.37,90.88,5.9,85622,1161,1.36,86783,90.88070244172246,5.365106069161011
37,37,Colombia,8777,131161,117163,16306.0,508.0,11494,3.41,51.02,6.69,204005,53096,26.03,257101,51.01535972244371,3.4138334740043796
38,38,Comoros,7,328,19,0.0,0.0,0,1.98,92.66,2.13,334,20,5.99,354,92.65536723163842,1.977401129943503
39,39,Congo (Brazzaville),54,829,2317,162.0,3.0,73,1.69,25.91,6.51,2851,349,12.24,3200,25.906249999999996,1.6875
40,40,Congo (Kinshasa),208,5700,2936,13.0,4.0,190,2.35,64.45,3.65,8443,401,4.75,8844,64.45047489823608,2.3518769787426503
41,41,Costa Rica,115,3824,11902,612.0,11.0,88,0.73,24.14,3.01,11534,4307,37.34,15841,24.139890158449592,0.7259642699324538
42,42,Cote d'Ivoire,96,10361,5198,59.0,0.0,183,0.61,66.18,0.93,14312,1343,9.38,15655,66.18332801022038,0.613222612583839
43,43,Croatia,139,3936,806,24.0,3.0,70,2.85,80.64,3.53,4370,511,11.69,4881,80.63921327596803,2.8477770948576113
44,44,Cuba,87,2351,94,37.0,0.0,2,3.44,92.85,3.7,2446,86,3.52,2532,92.85150078988941,3.4360189573459716
45,45,Cyprus,19,852,189,3.0,0.0,0,1.79,80.38,2.23,1038,22,2.12,1060,80.37735849056604,1.7924528301886793
46,46,Czechia,373,11428,3715,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,15516,73.65300335137923,2.4039700953854086
47,47,Denmark,613,12605,543,109.0,0.0,77,4.45,91.6,4.86,13453,308,2.29,13761,91.59944771455562,4.454618123682872
48,48,Djibouti,58,4977,24,,,11,1.15,98.38,1.17,5020,39,0.78,5059,98.37912630954733,1.1464716347104171
49,49,Dominica,0,18,0,0.0,0.0,0,0.0,100.0,0.0,18,0,0.0,18,100.0,0.0
50,50,Dominican Republic,1083,30204,32869,1248.0,20.0,1601,1.69,47.08,3.59,53956,10200,18.9,64156,47.07899494980984,1.688072822495168
51,51,Ecuador,5532,34896,40733,467.0,17.0,0,6.82,43.0,15.85,74620,6541,8.77,81161,42.9960202560343,6.8160816155542685
52,52,Egypt,4652,34838,52992,420.0,46.0,1007,5.03,37.67,13.35,88402,4080,4.62,92482,37.670033087519734,5.0301680326982545
53,53,El Salvador,408,7778,6849,405.0,8.0,130,2.71,51.73,5.25,12207,2828,23.17,15035,51.73262387761889,2.7136681077485867
54,54,Equatorial Guinea,51,842,2178,0.0,0.0,0,1.66,27.42,6.06,3071,0,0.0,3071,27.417779225008143,1.660696841419733
55,55,Eritrea,0,191,74,2.0,0.0,2,0.0,72.08,0.0,251,14,5.58,265,72.0754716981132,0.0
56,56,Estonia,69,1923,42,0.0,0.0,1,3.39,94.54,3.59,2021,13,0.64,2034,94.54277286135692,3.392330383480826
57,57,Eswatini,34,1025,1257,109.0,2.0,39,1.47,44.26,3.32,1826,490,26.83,2316,44.2573402417962,1.468048359240069
58,58,Ethiopia,228,6386,7933,579.0,5.0,170,1.57,43.9,3.57,10207,4340,42.52,14547,43.899085722142026,1.5673334708187256
59,59,Fiji,0,18,9,0.0,0.0,0,0.0,66.67,0.0,27,0,0.0,27,66.66666666666666,0.0
60,60,Finland,329,6920,149,5.0,0.0,0,4.45,93.54,4.75,7340,58,0.79,7398,93.53879426872128,4.447147877804812
61,61,France,30212,81212,108928,2551.0,17.0,267,13.71,36.86,37.2,214023,6329,2.96,220352,36.855576532094105,13.71079000871333
62,62,Gabon,49,4682,2458,205.0,0.0,219,0.68,65.13,1.05,6433,756,11.75,7189,65.12727778550563,0.6815968841285297
63,63,Gambia,8,66,252,49.0,2.0,6,2.45,20.25,12.12,112,214,191.07,326,20.245398773006134,2.4539877300613497
64,64,Georgia,16,922,199,6.0,0.0,2,1.41,81.09,1.74,1039,98,9.43,1137,81.09058927000879,1.4072119613016711
